student_id,minutes_watched,paid_in_q2
7015,0.33,1
7021,63.2,1
7034,934.07,1
7071,2764.57,1
7076,6.0,1
7081,60.9,1
7086,2298.27,1
7094,2.6,1
7096,266.33,1
7100,234.5,1
7101,1361.6,1
7115,34.67,1
7122,253.0,1
7127,462.6,1
7128,1185.77,1
7129,17.23,1
7133,967.4,1
7155,294.97,1
7163,505.23,1
7169,64.2,1
7178,167.57,1
7179,7.47,1
7197,1235.67,1
7212,51.67,1
7217,5.17,1
7231,1140.67,1
7232,353.73,1
7242,212.47,1
7244,1339.67,1
7245,463.2,1
7246,758.5,1
7250,180.63,1
7254,726.57,1
7275,6.87,1
7282,184.37,1
7291,15.43,1
7294,258.93,1
7306,264.6,1
7307,463.37,1
7310,64.27,1
7343,1970.1,1
7349,2541.83,1
7355,0.73,1
7358,326.93,1
7365,1297.57,1
7373,35.97,1
7382,1938.93,1
7386,140.07,1
7404,29.13,1
7406,15.1,1
7412,3862.53,1
7437,1524.23,1
7443,29.67,1
7452,18.3,1
7475,1112.47,1
7482,220.53,1
7483,3.7,1
7487,1362.53,1
7495,0.3,1
7502,268.77,1
7503,89.77,1
7521,118.5,1
7524,0.23,1
7540,386.23,1
7548,7.97,1
7561,1780.03,1
7568,1375.27,1
7583,1425.13,1
7606,29.4,1
7612,1782.23,1
7620,236.73,1
7631,45.87,1
7642,1290.97,1
7645,577.5,1
7649,298.13,1
7676,0.1,1
7687,4833.73,1
7724,48.2,1
7726,147.4,1
7735,0.2,1
7742,426.43,1
7752,141.3,1
7782,271.3,1
7819,11.97,1
7861,3837.73,1
7863,4.63,1
7873,19.63,1
7889,2.3,1
7898,131.73,1
7908,1402.33,1
7934,131.87,1
7962,65.53,1
7975,188.33,1
7987,6.7,1
8005,2912.1,1
8010,962.17,1
8018,267.13,1
8030,364.93,1
8053,68.8,1
8057,111.2,1
8059,8.67,1
8068,223.1,1
8095,1395.6,1
8107,1.9,1
8133,305.77,1
8183,80.63,1
8223,755.37,1
8260,14.07,1
8380,1334.17,1
8412,1096.57,1
8425,32.17,1
8437,1548.93,1
8444,14.87,1
8452,205.27,1
8495,505.67,1
8519,54.33,1
8538,63.57,1
8539,398.3,1
8544,131.6,1
8555,188.1,1
8567,7.47,1
8591,297.2,1
8600,412.93,1
8679,2.07,1
8716,10.17,1
8734,476.9,1
8758,909.43,1
8773,44.6,1
8779,0.6,1
8797,67.97,1
8798,20.13,1
8825,0.43,1
8855,4092.07,1
8868,1338.6,1
8873,22.73,1
8912,582.43,1
8924,1138.17,1
8937,85.63,1
8950,10.87,1
8952,52.7,1
8964,41.4,1
9000,700.97,1
9021,318.53,1
9027,374.2,1
9100,422.13,1
9107,619.4,1
9108,1570.47,1
9112,17.87,1
9114,290.8,1
9178,118.6,1
9188,315.33,1
9231,289.17,1
9252,1.47,1
9260,4.17,1
9303,12.6,1
9305,2017.8,1
9334,136.73,1
9336,10.93,1
9354,15.9,1
9372,29.57,1
9409,1923.07,1
9429,3277.03,1
9435,386.33,1
9465,1022.0,1
9478,85.07,1
9513,57.7,1
9521,0.13,1
9544,0.8,1
9560,207.43,1
9571,650.2,1
9598,914.77,1
9612,92.97,1
9653,1279.63,1
9703,817.17,1
9708,197.13,1
9736,1351.53,1
9746,635.43,1
9754,35.93,1
9793,2143.63,1
9794,255.9,1
9803,548.0,1
9812,2578.0,1
9856,987.63,1
9876,0.23,1
9882,224.87,1
9952,47.47,1
9985,101.83,1
9989,30.93,1
10002,124.63,1
10029,14.1,1
10057,26.7,1
10078,33.27,1
10103,17.5,1
10131,111.53,1
10158,695.4,1
10218,33.3,1
10272,87.8,1
10276,228.43,1
10288,771.33,1
10299,45.67,1
10337,9.2,1
10365,253.5,1
10390,86.3,1
10393,1418.53,1
10398,357.67,1
10595,38.33,1
10608,12.1,1
10662,5.87,1
10685,152.9,1
10690,0.17,1
10744,29.1,1
10748,3182.77,1
10791,75.87,1
10839,1710.57,1
10938,5.07,1
11002,85.93,1
11026,150.83,1
11082,13.7,1
11124,12.3,1
11209,1285.9,1
11227,626.27,1
11311,1133.13,1
11325,888.6,1
11365,717.63,1
11489,137.8,1
11538,0.2,1
11583,311.7,1
11604,2234.1,1
11607,187.1,1
11628,70.47,1
11644,54.43,1
11711,55.13,1
11735,862.57,1
11739,11.9,1
11748,174.47,1
11800,149.47,1
11802,0.27,1
11808,140.6,1
11812,0.5,1
11879,5081.77,1
11937,10.77,1
12033,25.87,1
12043,47.17,1
12073,73.03,1
12127,25.97,1
12146,13.23,1
12160,3131.97,1
12207,121.77,1
12222,1250.3,1
12234,22.73,1
12241,281.87,1
12270,1.9,1
12279,0.13,1
12385,279.37,1
12442,269.93,1
12473,287.13,1
12508,1437.93,1
12534,117.57,1
12551,545.6,1
12589,469.9,1
12610,513.9,1
12644,1.9,1
12735,434.77,1
12751,130.23,1
12761,619.73,1
12771,176.53,1
12781,1813.33,1
12797,10.03,1
12802,222.67,1
12808,6.17,1
12809,112.27,1
12811,0.77,1
12816,101.23,1
12857,459.0,1
12868,24.43,1
12971,73.1,1
12989,1766.07,1
13043,220.1,1
13073,2422.33,1
13076,519.93,1
13079,2785.4,1
13132,902.1,1
13134,30.43,1
13169,4.03,1
13179,286.93,1
13180,496.03,1
13463,96.57,1
13474,142.4,1
13501,172.3,1
13510,336.43,1
13566,25.73,1
13620,2236.57,1
13644,323.87,1
13804,0.37,1
13807,60.67,1
13902,56.73,1
13960,39.07,1
14425,24.0,1
14470,16.9,1
14629,243.47,1
14633,160.1,1
14700,663.27,1
14714,476.2,1
14735,775.4,1
14765,2062.37,1
14915,1920.13,1
14953,77.67,1
14967,14.97,1
15110,0.23,1
15179,5.23,1
15345,582.97,1
15416,11.3,1
15472,304.1,1
15736,974.3,1
16043,491.3,1
16052,1152.37,1
16118,2775.73,1
16414,440.63,1
16417,0.13,1
16450,678.77,1
16473,1.47,1
16632,1724.83,1
16725,1574.37,1
16728,403.87,1
16825,0.53,1
16832,0.2,1
16863,21.83,1
16991,2981.03,1
17159,333.77,1
17317,12.63,1
17524,292.43,1
17943,14.0,1
18314,4.2,1
18319,618.73,1
18360,1165.13,1
18510,9.47,1
18678,348.07,1
18692,486.2,1
18719,237.23,1
18722,242.07,1
18865,0.37,1
18954,1372.3,1
19005,680.43,1
19053,32.47,1
19074,78.27,1
19124,1004.87,1
19150,266.73,1
19178,54.33,1
19268,140.67,1
19347,28.47,1
19562,1850.73,1
19636,42.2,1
19665,904.47,1
19692,234.57,1
19821,264.03,1
19845,5.27,1
19900,109.03,1
19954,1838.47,1
19969,6.8,1
20120,1348.7,1
20556,0.33,1
